abbor,/ɑ b ɔ ɾ/
bedre,/ˈ b e ː d ɾ ə/
bedrive,/b ə ˈ d ɾ iː ʋ ə/
bedrøvelig,/b ə ˈ d ɾ ø ː ʋ ə l ɪ/
bedrøvelige,/b ə ˈ d ɾ ø ː ʋ ə l ɪə/
bedrøveligere,/b ə ˈ d ɾ ø ː ʋ ə l ɪ ɾ ə/
bedrøveligst,/b ə ˈ d ɾ ø ː ʋ ə l ɪ k s t/
bedrøveligste,/b ə ˈ d ɾ ø ː ʋ ə l ɪ k s t ə/
bedugga,/b ə ˈ d ʉ g ə t/
bedugget,/b ə ˈ d ʉ g ə t/
bedømme,/b ə ˈ d œ m ə/
bedøve,/b ə ˈ d ø ː ʋ ə/
bedårende,/b ə ˈ d o ː ɾ ə n ə/
befale,/b ə ˈ f ɑː l e/
befaring,/b ə ˈ f ɑː ɾ ɪ ŋ/
befinne,/b ə ˈ f ɪ n ə/
befinne seg,/b ɛ ˈ f ɪ n ə s æ i/
befolke,/b ə ˈ f ɔ l k ə/
befordre,/b ə ˈ f ɔ ɖ ɾ ə/
befri,/b ə ˈ f ɾ iː/
befrielse,/b ə ˈ f ɾ iː j ə l s ə/
befrier,/b ə ˈ f ɾ iː j ə ɾ/
befrukte,/b ə ˈ f ɾ ʉ k t ə/
begava,/b ə ˈ g ɑː ʋ ə t/
begegnen,/b ə ˈ g e ː g n ə n/
begeistret,/b ɛ ˈ g æɪ s t ɾ ə t/
begeistret for,/b ɛ ˈ g æɪ s t ɾ ə t f ɔ ɾ/
begge,/ˈ b æɪ ə/
begi,/b ə ˈ j iː/
begjære,/b ə ˈ j æ ː ɾ ə/
begjærlig,/b ə ˈ j æ ː ɭ ɪ/
begjærlige,/b ə ˈ j æ ː ɭ ɪə/
begjærligere,/b ə ˈ j æ ː ɭ ɪ ɾ ə/
begjærligst,/b ə ˈ j æ ː ɭ ɪ k s t/
begjærligste,/b ə ˈ j æ ː ɭ ɪ k s t ə/
begrave,/b ə ˈ g ɾ ɑː ʋ ə/
begrensa,/b ə ˈ g ɾ ɛ n s ə t/
begrense,/b ə ˈ g ɾ ɛ n s ə/
begrenset,/b ə ˈ g ɾ ɛ n s ə t/
begrep,/b ə ˈ g ɾ e ː p/
begripe,/b ə ˈ g ɾ iː p ə/
begripelig,/b ə ˈ g ɾ iː p ə l ɪ/
begripelige,/b ə ˈ g ɾ iː p ə l ɪə/
begripeligere,/b ə ˈ g ɾ iː p ə l ɪ ɾ ə/
begripeligst,/b ə ˈ g ɾ iː p ə l ɪ k s t/
begripeligste,/b ə ˈ g ɾ iː p ə l ɪ k s t ə/
begrunne,/b ə ˈ g ɾ ʉ n ə/
begynne,/b ɛ ˈ j ʏ n ə/
begynnelse,/b ɛ j ʏ n ɛ l s ə/
begå,/b ɛ ˈ g o ː/
behage,/b ə ˈ h ɑː g ə/
behagelig,/b ə ˈ h ɑː g ə l ɪ/
behagelige,/b ə ˈ h ɑː g ə l ɪə/
behageligere,/b ə ˈ h ɑː g ə l ɪ ɾ ə/
behageligst,/b ə ˈ h ɑː g ə l ɪ k s t/
behageligste,/b ə ˈ h ɑː g ə l ɪ k s t ə/
behandle,/b ə ˈ h ɑ n l ə/
beherska,/b ə ˈ h æ ʂ k ɑ/
beherske,/b ə ˈ h æ ʂ k ə/
behersket,/b ə ˈ h æ ʂ k ə t/
beholde,/b ə ˈ h ɔ l ə/
beholder,/b ɛ ˈ h ɔ l ə ɾ/
behørig,/b ə ˈ h ø ː ɾ ɪ/
behørige,/b ə ˈ h ø ː ɾ ɪə/
behørigere,/b ə ˈ h ø ː ɾ ɪ ɾ ə/
behørigst,/b ə ˈ h ø ː ɾ ɪ k s t/
behørigste,/b ə ˈ h ø ː ɾ ɪ k s t ə/
behøve,/b ə ˈ h ø ː ʋ ə/
beige,"/b e ː ʂ/, /ˈ b e ː ʒ ə/"
bein,/b æɪ n/
beinhard,/ˈ b æɪ n h ɑː ɾ/
beisk,/b æɪ s k/
beist,/b æɪ s t/
beite,/ˈ b æɪ t ə/
bekjempe,/b ə ˈ ç ɛ m p ə/
bekjenne,/b ə ˈ ç ɛ n ə/
bekjent,/b ə ˈ ç ɛ n t/
bekjente,/b ɛ ˈ ç ɛ n t ə/
bekjentskap,/b ɛ ˈ ç ɛ n t s k ɑː p/
bekken,/ˈ b ɛ k n̩/
bekkener,/ˈ b ɛ k n ə ɾ/
bekkenet,/ˈ b ɛ k n ə/
beklage,/b ə ˈ k l ɑː g ə/
beklage seg over,/b ɛ ˈ k l ɑː g ə s æɪ o ː ʋ ə ɾ/
beklagelig,/b ə ˈ k l ɑː g ə l ɪ/
beklagelige,/b ə ˈ k l ɑː g ə l ɪə/
beklageligere,/b ə ˈ k l ɑː g ə l ɪ ɾ ə/
beklageligst,/b ə ˈ k l ɑː g ə l ɪ k s t/
beklageligste,/b ə ˈ k l ɑː g ə l ɪ k s t ə/
beklager,/b ə ˈ k l ɑː g ə ɾ/
bekle,/b ə ˈ k l e ː/
beklemt,/b ə ˈ k l ɛ m t/
bekmørk,/ˈ b e ː k m œ ɾ k/
bekrefte,/b ə ˈ k ɾ ɛ f t ə/
bekvem,/b ə ˈ k ʋ ɛ m/
bekymre,/b ə ˈ ç ʏ m ɾ ə/
bekymre seg om,/b ɛ ˈ ç ʏ m ɾ ə s æɪ ʊ m/
beleilig,/b ə ˈ l æɪ l ɪ/
beleilige,/b ə ˈ l æɪ l ɪə/
beleiligere,/b ə ˈ l æɪ l ɪ ɾ ə/
beleiligst,/b ə ˈ l æɪ l ɪ k s t/
beleiligste,/b ə ˈ l æɪ l ɪ k s t ə/
beleire,/b ə ˈ l æɪ ɾ ə/
belest,/b ə ˈ l e ː s t/
belgier,/ˈ b ɛ l g ɪə ɾ/
belgisk,/ˈ b ɛ l g ɪ s k/
belje,/ˈ b æ l j ə/
belme,/ˈ b æ ɭ m ə/
belte,/b ɛ l t ə/
beltet,/b ɛ l t ə/
belyse,/b ə ˈ l y ː s ə/
belære,/b ə ˈ l æ ː ɾ ə/
belønne,/b ə ˈ l œ n ə/
belønning,/b ɛ ˈ l œ n ɪ ŋ/
beløp,/b ɛ ˈ l ø ː p/
bemerke,/b ə ˈ m æ ɾ k ə/
bemerkelsesverdig,/b ə ˈ m æ ɾ k ə l s ə s ʋ æ ɖ ɪ/
bemerkelsesverdige,/b ə ˈ m æ ɾ k ə l s ə s ʋ æ ɖ ɪə/
bemerkelsesverdigere,/b ə ˈ m æ ɾ k ə l s ə s ʋ æ ɖ ɪ ɾ ə/
bemerkelsesverdigst,/b ə ˈ m æ ɾ k ə l s ə s ʋ æ ɖ ɪ k s t/
bemerkelsesverdigste,/b ə ˈ m æ ɾ k ə l s ə s ʋ æ ɖ ɪ k s t ə/
bemyndige,/b ə ˈ m ʏ n ɪ g ə/
ben,/b e ː n/
bende,/ˈ b ɛ n ə/
benekte,/b ə ˈ n ɛ k t ə/
benk,/b ɛ ŋ k/
bensinkanne,/b ɛ n ˈ s iː n k ɑ n ə/
bensinpumpe,/b ɛ n ˈ s iː n p ʊ m p ə/
benytte,/b ə ˈ n ʏ t ə/
benåde,/b ə ˈ n o ː d ə/
benådning,/b ə ˈ n o ː d n ɪ ŋ/
beordre,/b ə ˈ ɔ ɖ ɾ ə/
ber,/b e ː ɾ/
beredt,/b ə ˈ ɾ ɛ t/
beregne,/b ə ˈ ɾ æɪ n ə/
beregning,/b ə ˈ ɾ æɪ n ɪ ŋ/
berette,/b ə ˈ ɾ ɛ t ə/
berge,/ˈ b æ ɾ g ə/
bergningstjeneste,/b ɛ ɾ g ɪ ŋ s t j ɛ n ə s t ə/
bergta,/ˈ b æ ɾ k t ɑː/
bero,/b ə ˈ ɾ uː/
berolige,/b ɛ ˈ ɾ uː l ɪə/
beroligende middel,/b ɛ ˈ ɾ uː l ɪ g ɛ n ə   ˈ m ɪ d ə l/
berusa,/b ə ˈ ɾ ʉ ː s ə t/
beruset,/b ə ˈ ɾ ʉ ː s ə t/
berykta,/b ə ˈ ɾ ʏ k t ə t/
beryktet,/b ə ˈ ɾ ʏ k t ə t/
berømme,/b ə ˈ ɾ œ m ə/
berømt,/b ə ˈ ɾ œ m t/
berøre,/b ə ˈ ɾ ø ː ɾ ə/
besatt,/b ə ˈ s ɑ t/
beseire,/b ə ˈ s æɪ ɾ ə/
besette,/b ə ˈ s ɛ t ə/
besikte,/b ə ˈ s ɪ k t ə/
besiktigelse,/b ə ˈ s ɪ k t ɪ g ɛ l s ə/
besinne,/b ə ˈ s ɪ n ə/
besitte,/b ə ˈ s ɪ t ə/
beskatte,/b ə ˈ s k ɑ t ə/
beskjed,/b ə ˈ ʂ e ː/
beskjeden,/b ə ˈ ʂ e ː d ə n/
beskjeftige,/b ə ˈ ʂ ɛ f t ɪ g ə/
beskjære,/b ə ˈ ʂ æ ː ɾ ə/
beskrive,/b ə ˈ s k ɾ iː ʋ ə/
beskytte,/b ə ˈ ʂ ʏ t ə/
beskyttelsesfaktor,/b ɛ ˈ ʂ ʏ t ɛ l s ə s f ɑ k t ʊ ɾ/
beslaglegge,/b ə ˈ ʂ ɭ ɑː g l ə g ə/
beslekta,/b ə ˈ ʂ ɭ ɛ k t ə t/
beslektet,/b ə ˈ ʂ ɭ ɛ k t ə t/
beslutte,/b ə ˈ ʂ ɭ ʉ t ə/
besluttsom,/b ə ˈ ʂ ɭ ʉ t s ɔ m/
best,/b e ː s t/
bestandig,/b ə ˈ s t ɑ n ɪ/
bestandige,/b ə ˈ s t ɑ n ɪə/
bestandigere,/b ə ˈ s t ɑ n ɪ ɾ ə/
bestandigst,/b ə ˈ s t ɑ n ɪ k s t/
bestandigste,/b ə ˈ s t ɑ n ɪ k s t ə/
beste,/ˈ b ɛ s t ə/
bestefar,/ˈ b ɛ s t ə f ɑː ɾ/
bestemme,/b ə ˈ s t ɛ m ə/
bestemor,/ˈ b ɛ s t ə m uː ɾ/
bestemt,/b ə ˈ s t ɛ m t/
bestialsk,/b ə s t ɪ ˈ ɑː l s k/
bestige,/b ə ˈ s t iː g ə/
bestikk,/b e ː s t ɪ k/
bestikke,/b ə ˈ s t ɪ k ə/
bestille,/b ə ˈ s t ɪ l ə/
bestilling,/b ɛ ˈ s t ɪ l ɪ ŋ/
bestimmt,/b ə ˈ ʂ t ɪ m t/
bestride,/b ə ˈ s t ɾ iː d ə/
bestøve,/b ə ˈ s t ø ː ʋ ə/
bestå,/b ə ˈ s t o ː/
bestå av,/b ɛ ˈ s t o ː ɑː ʋ/
besvare,/b ə ˈ s ʋ ɑː ɾ ə/
besvime,/b ə ˈ s ʋ iː m ə/
besvimelse,/b ɛ ˈ s ʋ iː m ɛ l s ə/
besværlig,/b ə ˈ s ʋ æ ː ɭ ɪ/
besværlige,/b ə ˈ s ʋ æ ː ɭ ɪə/
besværligere,/b ə ˈ s ʋ æ ː ɭ ɪ ɾ ə/
besværligst,/b ə ˈ s ʋ æ ː ɭ ɪ k s t/
besværligste,/b ə ˈ s ʋ æ ː ɭ ɪ k s t ə/
besynderlig,/b ə ˈ s ʏ n ə ɭ ɪ/
besynderlige,/b ə ˈ s ʏ n ə ɭ ɪə/
besynderligere,/b ə ˈ s ʏ n ə ɭ ɪ ɾ ə/
besynderligst,/b ə ˈ s ʏ n ə ɭ ɪ k s t/
besynderligste,/b ə ˈ s ʏ n ə ɭ ɪ k s t ə/
besøk,/b ə ˈ s ø ː k/
besøke,/b ə ˈ s ø ː k ə/
besøke noen,/b ə s ˈ ø ː k ə n uː ə n/
besørge,/b ə ˈ s œ ɾ g ə/
betale,/b ə ˈ t ɑː l ə/
betale kontant,/b ɛ ˈ t ɑː l ə   k ʊ n ˈ t ɑ n t/
betale ut,/b ɛ ˈ t ɑː l ə/
betaling,/b ɛ ˈ t ɑː l ɪ ŋ/
betatt,/b ə ˈ t ɑ t/
betegne,/b ə ˈ t æɪ n ə/
betenkelig,/b ə ˈ t ɛ ŋ k ə l ɪ/
betenkelige,/b ə ˈ t ɛ ŋ k ə l ɪə/
betenkeligere,/b ə ˈ t ɛ ŋ k ə l ɪ ɾ ə/
betenkeligst,/b ə ˈ t ɛ ŋ k ə l ɪ k s t/
betenkeligste,/b ə ˈ t ɛ ŋ k ə l ɪ k s t ə/
betennelse,/b ɛ ˈ t ɛ n ɛ l s ə/
betent,/b ə ˈ t ɛ n t/
betjene,/b ə ˈ t j e ː n ə/
betjening,/b ɛ ˈ t j e ː n ɪ ŋ/
Betlehem,/ˈ b e ː t l ɛ m/
betone,/b ə ˈ t uː n ə/
betong,/ˈ b ɛ t ɔ ŋ/
betrakte,/b ə ˈ t ɾ ɑ k t ə/
betraktelig,/b ə ˈ t ɾ ɑ k t ə l ɪ/
betraktelige,/b ə ˈ t ɾ ɑ k t ə l ɪə/
betrakteligere,/b ə ˈ t ɾ ɑ k t ə l ɪ ɾ ə/
betrakteligst,/b ə ˈ t ɾ ɑ k t ə l ɪ k s t/
betrakteligste,/b ə ˈ t ɾ ɑ k t ə l ɪ k s t ə/
betro,/b ə ˈ t ɾ uː/
betryggende,/b ə ˈ t ɾ ʏ g ə n ə/
betvile,/b ə ˈ t ʋ iː l ə/
bety,/b ə ˈ t y ː/
betydelig,/b ə ˈ t y ː d ə l ɪ/
betydelige,/b ə ˈ t y ː d ə l ɪə/
betydeligere,/b ə ˈ t y ː d ə l ɪ ɾ ə/
betydeligst,/b ə ˈ t y ː d ə l ɪ k s t/
betydeligste,/b ə ˈ t y ː d ə l ɪ k s t ə/
betydning,/b ɛ ˈ t y ː d n ɪ ŋ/
betydningsfull,/b ə ˈ t y ː d n ɪ ŋ s f ʉ l/
beundre,/b ə ˈ ʉ n d ɾ ə/
bevare,/b ə ˈ ʋ ɑː ɾ ə/
beve,/ˈ b e ː ʋ ə/
bevege,/b ə ˈ ʋ e ː g ə/
bevegelig,/b ə ˈ ʋ e ː g ə l ɪ/
bevegelige,/b ə ˈ ʋ e ː g ə l ɪə/
bevegeligere,/b ə ˈ ʋ e ː g ə l ɪ ɾ ə/
bevegeligst,/b ə ˈ ʋ e ː g ə l ɪ k s t/
bevegeligste,/b ə ˈ ʋ e ː g ə l ɪ k s t ə/
bevegelse,/b ə ˈ ʋ e ː g ə l s ə/
bevegelseshemmet,/b ɛ ʋ e ː g ɛ l s ə s h ɛ m ə t/
bever,/ˈ b ɛ ʋ ə ɾ/
bevilge,/b ə ˈ ʋ ɪ l g ə/
bevise,/b ə ˈ ʋ iː s ə/
bevisst,/b ə ˈ ʋ ɪ s t/
bevisstløs,/b ə ˈ ʋ ɪ s t l ø ː s/
bevitne,/b ə ˈ ʋ ɪ t n ə/
bevokte,/b ə ˈ ʋ ɔ k t ə/
bibel,/ˈ b iː b ə l/
bibelen,"/ˈ b iː b ə l n/, /ˈ b iː b æ ɳ/"
bibler,/ˈ b iː b l ə ɾ/
bidra,/ˈ b iː d ɾ ɑː/
bie,/ˈ b iː ə/
bifall,/b ɪ f ɑ l/
bifalle,/ˈ b iː f ɑ l ə/
biff,/b ɪ f/
bifil,/ˈ b iː f iː l/
bihulebetennelse,/ˈ b iː h ʉ ː l ə b ɛ t ɛ n ɛ l s ə/
bikini,/b ɪ ˈ k iː n i/
bikkje,/ˈ b ɪ ç ə/
bil,/b iː l/
bilbelte,/b iː l b ɛ l t ə/
bilde,/ˈ b ɪ l d ə/
bilene,/ˈ b iː l n ə/
biljekk,/b iː l j ɛ k/
billede,/ˈ b ɪ l ə d ə/
billedhogger,/b ɪ l ɛ d h ɔ g ə ɾ/
billedhugger,/ˈ b ɪ l ə d h ʉ g ə ɾ/
billedlig,/ˈ b ɪ l ə d l ɪ/
billedlige,/ˈ b ɪ l ə d l ɪə/
billedligere,/ˈ b ɪ l ə d l ɪ ɾ ə/
billedligst,/ˈ b ɪ l ə d l ɪ k s t/
billedligste,/ˈ b ɪ l ə d l ɪ k s t ə/
billett,/b ɪ ˈ l ɛ t/
billettluke,/b ɪ ˈ l ɛ t l ʉ ː k ə/
billettmaskin,/b ɪ ˈ l ɛ t m ɑ ʂ iː n/
billettpris,/b ɪ ˈ l ɛ t p ɾ iː s/
billig,/ˈ b ɪ l ɪ/
billige,/ˈ b ɪ l ɪə/
billigere,/ˈ b ɪ l ɪ ɾ ə/
billigst,/ˈ b ɪ l ɪ k s t/
billigste,/ˈ b ɪ l ɪ k s t ə/
bilradio,/b iː l ɾ ɑː d ɪ u/
bilsete for baby,/b iː l s e ː t ə f ɔ ɾ b æɪ b i/
biltog,/b iː l t ɔ g/
binde,/ˈ b ɪ n ə/
biologisk,/b ɪ ʊ ˈ l o ː g ɪ s k/
bis,/b ɪ s/
bisarr,/b ɪ ˈ s ɑ ɾ/
bisette,/ˈ b iː s ɛ t ə/
bisk,/b ɪ s k/
bister,/ˈ b ɪ s t ə ɾ/
bistå,/ˈ b iː s t o ː/
bit,/b iː t/
bite,/ˈ b iː t ə/
biter,/ˈ b iː t ə ɾ/
bitre,/ˈ b ɪ t ɾ ə/
bitrere,/ˈ b ɪ t ɾ ə ɾ ə/
bitrest,/ˈ b ɪ t ɾ ə s t/
bitter,/ˈ b ɪ t ə ɾ/
bittert,/ˈ b ɪ t ə ʈ/
bivåne,/ˈ b iː ʋ o ː n ə/
bjeffe,/ˈ b j ɛ f ə/
bjørk,/b j œ ɾ k/
bla,/b l ɑː/
blad,"/b l ɑː/, /b l ɑː d/"
blafre,/ˈ b l ɑ f ɾ ə/
blakk,/b l ɑ k/
blande,/ˈ b l ɑ n ə/
blandet,/b l ɑ n ə t/
blank,/b l ɑ ŋ k/
blankett,/b l ɑ ŋ ˈ k ɛ t/
blant,/b l ɑ n t/
blasfemisk,/b l ɑ s ˈ f e ː m ɪ s k/
blass,/b l ɑ s/
bleie,/b l æɪ ə ɾ/
blek,/b l e ː k/
bleke,/ˈ b l e ː k ə/
blemme,/b l ɛ m ə/
blende,/ˈ b l ɛ n ə/
bli,/b l iː/
bli enige om,/b l ɪ e ː n ɪə ʊ m/
blid,/b l iː/
blikk,/b l ɪ k/
blikkstille,/ˈ b l ɪ k s t ɪ l ə/
blind,/b l ɪ n/
blinde,/ˈ b l ɪ n ə/
blindehund,/b l ɪ n ə h ʉ n/
blindeskrift,/b l ɪ n ə s k ɾ ɪ f t/
blindestokk,/b l ɪ n ə s t ɔ k/
blinke,/ˈ b l ɪ ŋ k ə/
blinklys,/b l ɪ ŋ k l y ː s/
blod,/b l uː/
blodig,/ˈ b l uː d ɪ/
blodige,/ˈ b l uː d ɪə/
blodigere,/ˈ b l uː d ɪ ɾ ə/
blodigst,/ˈ b l uː d ɪ k s t/
blodigste,/ˈ b l uː d ɪ k s t ə/
blodtype,/b l uː t y ː p ə/
blodåre,/ˈ b l uː o ː ɾ ə/
blogg,/b l ɔ g/
blokk,/b l ɔ k/
blokkere,/b l ɔ ˈ k e ː ɾ ə/
blomkål,/ˈ b l ʊ m k o ː l/
blomst,/b l ɔ m s t/
blomster,/ˈ b l ɔ m s t ə ɾ/
blomsterbutikk,/ˈ b l ʊ m s t ə ɾ b ʉ t ɪ k/
blomstre,/ˈ b l ɔ m s t ɾ ə/
blomstrende,/ˈ b l ɔ m s t ɾ ə n ə/
blond,/b l ɔ n/
blote,/ˈ b l uː t ə/
blott,/b l ɔ t/
blotte,/ˈ b l ɔ t ə/
blues,/b l ʉ ː s/
blunde,/ˈ b l ʉ n ə/
blunke,/ˈ b l ʊ ŋ k ə/
bluse,/b l ʉ ː s ə/
blusse,/ˈ b l ʉ s ə/
blyg,/b l y ː g/
blygsel,/ˈ b l ʏ k s ə l/
blære,/ˈ b l æ ː ɾ ə/
blærete,/ˈ b l æ ː ɾ ə t ə/
blø,/b l ø ː/
blødning,/b l ø ː d n ɪ ŋ/
bløffe,/ˈ b l œ f ə/
bløt,/b l ø ː t/
bløtgjøre,/ˈ b l ø ː t j ø ː ɾ ə/
bløtlegge,/ˈ b l ø ː t l æɪ ə/
blå,/b l o ː/
blåbær,/ˈ b l ɔ b æ ɾ/
blåfrossen,/ˈ b l o ː f ɾ ɔ s ə n/
blåne,/ˈ b l o ː n ə/
blåse,/ˈ b l o ː s ə/
blåser,/ˈ b l o ː s ə ɾ/
blåveis,/ˈ b l o ː ʋ æɪ s/
blåøyd,/ˈ b l o ː œ j d/
bo,/b uː/
bobil,/ˈ b uː b iː l/
boble,/ˈ b ɔ b l ə/
body,/b ɔ d y/
boikotte,/ˈ b ɔ j k ɔ t ə/
bok,/b uː k/
bokhandel,/b uː k h ɑ n ə l/
boks,/b ɔ k s/
bokser,/ˈ b ɔ k s ɛ ɾ/
boksing,/ˈ b ɔ k s ɪ ŋ/
bokstav,/b ʊ k ˈ s t ɑː ʋ/
bokstavelig,/b ʊ k ˈ s t ɑː ʋ ə l ɪ/
bokstavelige,/b ʊ k ˈ s t ɑː ʋ ə l ɪə/
bokstaveligere,/b ʊ k ˈ s t ɑː ʋ ə l ɪ ɾ ə/
bokstaveligst,/b ʊ k ˈ s t ɑː ʋ ə l ɪ k s t/
bokstaveligste,/b ʊ k ˈ s t ɑː ʋ ə l ɪ k s t ə/
boksåpner,/b ɔ k s o ː p n ə ɾ/
bolig,/ˈ b uː l ɪ/
bolige,/ˈ b uː l ɪə/
boligere,/ˈ b uː l ɪ ɾ ə/
boligst,/ˈ b uː l ɪ k s t/
boligste,/ˈ b uː l ɪ k s t ə/
bolte,/ˈ b ɔ l t ə/
bombardere,/b ʊ m b ɑ ˈ ɖ e ː ɾ ə/
bombe,/ˈ b ʊ m b ə/
bomme,/ˈ b ʊ m ə/
bompenger,/ˈ b uː m p æ n g ə ɾ/
bondegård,/ˈ b ʊ n ə g o ː ɾ/
bone,/ˈ b uː n ə/
bord,"/b uː ɾ/, /b ɔ ɖ/"
bordtennis,/b uː ʈ ɛ n ɪ s/
bore,/ˈ b ɔ ɾ ə/
borg,/b ɔ ɾ g/
borgerlig,/ˈ b ɔ ɾ g ə l ɪ/
borgerlige,/ˈ b ɔ ɾ g ə l ɪə/
borgerligere,/ˈ b ɔ ɾ g ə l ɪ ɾ ə/
borgerligst,/ˈ b ɔ ɾ g ə l ɪ k s t/
borgerligste,/ˈ b ɔ ɾ g ə l ɪ k s t ə/
bort,/b ʊ ʈ/
borte,/ˈ b ʊ ʈ ə/
bortføre,/ˈ b ʊ ʈ f ø ː ɾ ə/
bortimot,/b ʊ ʈ ɪ m uː t/
bortimot klokka tolv,/ˈ b ʊ ʈ ɪ m ʊ t   k l ɔ k ɑ   ˈ t ɔ l/
bortkasta,/ˈ b ʊ ʈ k ɑ s t ɑ/
bortkastet,/ˈ b ʊ ʈ k ɑ s t ɑ/
bortreist,/ˈ b ʊ ʈ ɾ æɪ s t/
bortskjemt,/ˈ b ʊ ʈ ʂ ə m t/
bosette,/ˈ b uː s ɛ t ə/
bosse,/ˈ b œ s ə/
bosted,/b uː s t e ː d/
bot,/b uː t/
botanisk,/b ʊ ˈ t ɑː n ɪ s k/
bote,/ˈ b ø ː t ə/
botsøvelse,/ˈ b uː t s ø ː ʋ ə l s ə/
bowling,/ˈ b ɔ ʊ l ɪ ŋ/
bra,/b ɾ ɑː/
bragd,/b ɾ ɑ g d/
brake,/ˈ b ɾ ɑː k ə/
brakke,/ˈ b ɾ ɑ k ə/
brann,/b ɾ ɑ n/
brannfarlig,/ˈ b ɾ ɑ n f ɑː ɭ ɪ/
brannmann,/ˈ b ɾ ɑ n m ɑ n/
brannsalve,/ˈ b ɾ ɑ n s ɑ l ʋ ə/
brannslokker,/ˈ b ɾ ɑ n ʂ ɭ ɔ k ə ɾ/
brannvesen,/ˈ b ɾ ɑ n ʋ e ː s ə n/
brasiliansk,/b ɾ ɑ s ɪ l ɪ ˈ ɑː n s k/
bratt,/b ɾ ɑ t/
braute,/ˈ b ɾ æʉ t ə/
bre,/b ɾ e ː/
bred,/b ɾ e ː/
bredd,/b ɾ ɛ d/
bredde,/ˈ b ɾ ɛ d ə/
breddeformat,/b ɾ æ d ə f uː m ɑː t/
bredt,/b ɾ ɛ t/
breer,/ˈ b ɾ e ː ə ɾ/
brei,/b ɾ æ i/
breke,/ˈ b ɾ e ː k ə/
brekke,/ˈ b ɾ ɛ k ə/
brems,/b ɾ ɛ m s/
bremse,/ˈ b ɾ ɛ m s ə/
brenne,/ˈ b ɾ ɛ n ə/
brer,/b ɾ e ː ɾ/
brette,/ˈ b ɾ ɛ t ə/
brev,/b ɾ e ː ʋ/
bringe,/ˈ b ɾ ɪ ŋ ə/
bringe tilbake,/b ɾ ɪ ŋ ə t ɪ l b ɑː k ə/
bringen,/ˈ b ɾ ɪ ŋ ə n/
bris,/b ɾ iː s/
briste,/ˈ b ɾ ɪ s t ə/
britisk,/ˈ b ɾ iː t ɪ s k/
bro,/b ɾ uː/
brodere,/b ɾ ʊ ˈ d e ː ɾ ə/
broderi,/b ɾ ɔ d ɛ ˈ ɾ iː/
broen,"/b ɾ uː w n/, /ˈ b ɾ uː ʊ n/"
broer,"/ˈ b ɾ uː w ə ɾ/, /ˈ b ɾ uː ʊ ɾ/"
broket,/ˈ b ɾ uː k ə t/
bronkitt,/b ɾ ʊ ŋ ˈ k ɪ t/
bronse,/ˈ b ɾ ɔ ŋ s ə/
bror,/b ɾ uː ɾ/
brors,/b ɾ uː ʂ/
brosjyre,/b ɾ ʊ ˈ ʂ y ː ɾ ə/
brosme,/ˈ b ɾ ɔ s m ə/
bru,/b ɾ ʉ ː/
brudd,/b ɾ ʉ d/
brukbar,/ˈ b ɾ ʉ ː k b ɑː ɾ/
bruke,/ˈ b ɾ ʉ ː k ə/
brukket,/b ɾ ʊ k ə t/
brukthandel,/ˈ b ɾ ʉ k t h ɑ n ə l/
brumme,/ˈ b ɾ ʊ m ə/
brun,/b ɾ ʉ ː n/
brune,/ˈ b ɾ ʉ ː n ə/
brus,/b ɾ ʉ ː s/
bruse,/ˈ b ɾ ʉ ː s ə/
brutal,/b ɾ ʉ ˈ t ɑː l/
bry,/b ɾ y ː/
brygge,/ˈ b ɾ ʏ g ə/
bryllup,/b ɾ ʏ l ʉ p/
brysk,/b ɾ ʏ s k/
brysom,/ˈ b ɾ y ː s ɔ m/
bryst,/b ɾ ʏ s t/
brystvorte,/ˈ b ɾ ʏ s t ʋ ʊ ʈ ə/
bryte opp,/b ɾ y ː t ə ˈ ɔ p/
brød,/b ɾ ø ː/
brødrister,/b ɾ ø ː ɾ ɪ s t ə ɾ/
brøle,/ˈ b ɾ ø ː l ə/
brønn,/b ɾ œ n/
brøyte,/ˈ b ɾ œ j t ə/
brå,/b ɾ o ː/
bråk,/b ɾ o ː k/
bråke,/ˈ b ɾ o ː k ə/
bråkete,/ˈ b ɾ o ː k ə t ə/
bråkjekk,/ˈ b ɾ o ː ç ɛ k/
bu,/b ʉ ː/
bud,/b ʉ ː d/
buddhistisk,/b ʉ ˈ d ɪ s t ɪ s k/
budsjett,/b ʉ d ˈ ʂ ɛ t/
budsjettere,/b ʉ d ʂ ə ˈ t e ː ɾ ə/
bue,/b ʉ ː ə/
bugne,/ˈ b ʊ ŋ n ə/
bukett,/b ʉ ˈ k ɛ t/
bukke,/ˈ b ʊ k ə/
bukse,/ˈ b ʊ k s ə/
bukt,/b ʉ k t/
bukte,/ˈ b ʊ k t ə/
buldre,/ˈ b ʉ l d ɾ ə/
bule,/ˈ b ʉ ː l ə/
bulgarsk,/ˈ b ʉ l g ɑː ʂ k/
bulke,/ˈ b ʉ l k ə/
bunad,/ˈ b ʉ ː n ɑː d/
bunke,/ˈ b ʊ ŋ k ə/
bunn,/b ʉ n/
bunt,/b ɔ n t/
bunte,/ˈ b ʉ n t ə/
burde,/ˈ b ʉ ɖ ə/
buss,/b ʉ s/
bustete,/ˈ b ʉ s t ə t ə/
butt,/b ʉ t/
by,/b y ː/
