abbor  aa b ao r
blærete  b l ae r ax t ax
blø  b l oeh
blødning  b l oeh d n ih ng
bløffe  b l oe f ax
bløt  b l oeh t
bløtgjøre  b l oeh t j oeh r ax
bløtlegge  b l oeh t l ay ax
blå  b l oo
blåbær  b l ao b ae r
blåfrossen  b l oo f r ao s ax n
blåne  b l oo n ax
blåse  b l oo s ax
blåser  b l oo s ax r
blåveis  b l oo v ay s
blåøyd  b l oo oe j d
bo  b uu
bobil  b uu b iy l
boble  b ao b l ax
body  b ao d ueh
boikotte  b ao j k ao t ax
bok  b uu k
bokhandel  b uu k h aa n ax l
boks  b ao k s
bokser  b ao k s eh r
boksing  b ao k s ih ng
bokstav  b uh k s t aa v
bokstavelig  b uh k s t aa v ax l ih
bokstavelige  b uh k s t aa v ax l ih ax
bokstaveligere  b uh k s t aa v ax l ih r ax
bokstaveligst  b uh k s t aa v ax l ih k s t
bokstaveligste  b uh k s t aa v ax l ih k s t ax
boksåpner  b ao k s oo p n ax r
bolig  b uu l ih
bolige  b uu l ih ax
boligere  b uu l ih r ax
boligst  b uu l ih k s t
boligste  b uu l ih k s t ax
bolte  b ao l t ax
bombardere  b uh m b aa d ee r ax
bombe  b uh m b ax
bomme  b uh m ax
bompenger  b uu m p ae ng ax r
bondegård  b uh n ax g oo r
bone  b uu n ax
bord  b uu r
bordtennis  b uu t eh n ih s
bore  b ao r ax
borg  b ao r g
borgerlig  b ao r g ax l ih
borgerlige  b ao r g ax l ih ax
borgerligere  b ao r g ax l ih r ax
borgerligst  b ao r g ax l ih k s t
borgerligste  b ao r g ax l ih k s t ax
bort  b uh t
borte  b uh t ax
bortføre  b uh t f oeh r ax
bortimot  b uh t ih m uu t
bortimot klokka tolv  b uh t ih m uh t k l ao k aa t ao l
bortkasta  b uh t k aa s t aa
bortkastet  b uh t k aa s t aa
bortreist  b uh t r ay s t
bortskjemt  b uh t sz ax m t
bosette  b uu s eh t ax
bosse  b oe s ax
bosted  b uu s t ee d
bot  b uu t
botanisk  b uh t aa n ih s k
bote  b oeh t ax
botsøvelse  b uu t s oeh v ax l s ax
bowling  b ao uh l ih ng
bra  b r aa
bragd  b r aa g d
brake  b r aa k ax
brakke  b r aa k ax
brann  b r aa n
brannfarlig  b r aa n f aa l ih
brannmann  b r aa n m aa n
brannsalve  b r aa n s aa l v ax
brannslokker  b r aa n sz l ao k ax r
brannvesen  b r aa n v ee s ax n
brasiliansk  b r aa s ih l ih aa n s k
bratt  b r aa t
braute  b r aw t ax
bre  b r ee
bred  b r ee
bredd  b r eh d
bredde  b r eh d ax
breddeformat  b r ae d ax f uu m aa t
bredt  b r eh t
breer  b r ee ax r
brei  b r ae iy
breke  b r ee k ax
brekke  b r eh k ax
brems  b r eh m s
bremse  b r eh m s ax
brenne  b r eh n ax
brer  b r ee r
brette  b r eh t ax
brev  b r ee v
bringe  b r ih ng ax
bringe t ilbake  b r ih ng ax t ih l b aa k ax
bringen  b r ih ng ax n
bris  b r iy s
briste  b r ih s t ax
britisk  b r iy t ih s k
bro  b r uu
brodere  b r uh d ee r ax
broderi  b r ao d eh r iy
broen  b r uu w n
broer  b r uu w ax r
broket  b r uu k ax t
bronkitt  b r uh ng k ih t
bronse  b r ao ng s ax
bror  b r uu r
brors  b r uu sz
brosjyre  b r uh sz ueh r ax
brosme  b r ao s m ax
bru  b r uh
brudd  b r uh d
brukbar  b r uh k b aa r
bruke  b r uh k ax
brukket  b r uh k ax t
brukthandel  b r uh k t h aa n ax l
brumme  b r uh m ax
brun  b r uh n
brune  b r uh n ax
brus  b r uh s
bruse  b r uh s ax
brutal  b r uh t aa l
bryllup  b r ue l uh p
brysk  b r ue s k
brysom  b r ueh s ao m
bryst  b r ue s t
brystvorte  b r ue s t v uh t ax
bryte opp  b r ueh t ax ao p
brød  b r oeh
brødrister  b r oeh r ih s t ax r
brøle  b r oeh l ax
brønn  b r oe n
brøyte  b r oe j t ax
brå  b r oo
bråk  b r oo k
bråke  b r oo k ax
bråkete  b r oo k ax t ax
bråkjekk  b r oo xh eh k
bu  b uh
bud  b uh d
buddhistisk  b uh d ih s t ih s k
budsjett  b uh d sz eh t
budsjettere  b uh d sz ax t ee r ax
bue  b uh ax
bugne  b uh ng n ax
bukett  b uh k eh t
bukke  b uh k ax
bukse  b uh k s ax
bukt  b uh k t
bukte  b uh k t ax
buldre  b uh l d r ax
bule  b uh l ax
bulgarsk  b uh l g aa sz k
bulke  b uh l k ax
bunad  b uh n aa d
bunke  b uh ng k ax
bunn  b uh n
bunt  b ao n t
bunte  b uh n t ax
burde  b uh d ax
buss  b uh s
bustete  b uh s t ax t ax
butt  b uh t
by  b ueh
bybuss  b ueh b uh s
bydel  b ueh d ee l
byer  b ueh j ax r
bygd  b ue g d
byge  b ueh ax
bygg  b ue g
bygge  b ue g ax
byggeplass  b ue g ax p l aa s
byggverk  b ue g v ae r k
bygning  b ue g n ih ng
bykart  b ueh k aa t
bykse  b ue k s ax
byll  b ue l
bymur  b ueh m uh r
bypass  b aa ih p aa s
byr  b ueh r
byrundtur  r uh n t uh r
byråkratisk  b ue r ao k r aa t ih s k
bysentrum  b ueh s eh n t r uh m
bytte  b ue t ax
bærbar  b ae r b aa r
bærbar CD-spiller  b ae r b aa s ee d ee s p ih l ax r
bære  b ae r ax
bøker  b oeh k ax r
bølge  b oe l g ax
bøllete  b oe l ax t ax
bønder  b oe n ax r
bønn  b oe n
bønne  b oe n ax
bønnene  b oe n ax n ax
bønnfalle  b oe n f aa l ax
børse  b oe sz ax
børste  b oe sz t ax
bøte  b oeh t ax
bøtelegge  b oeh t ax l ay ax
bøter  b oeh t ax r
bøye  b oe j ax
både  b oo d ax
båe  b oo ax
bål  b oo l
båre  b oo r ax
båt  b oo t
båtene  b oo t n ax
ca.  s ih r k aa
campe  k ae m p ax
camping  k ae m p ih ng
Canada  k aa n aa d aa
canadisk  k aa n aa d ih s k
catering  k ay t eh r ih ng
CD  s ee d ee
CD-spiller  s ee d ee s p ih l ax r
cent  s ae n t
centimeter  s eh n t ih m ee t ax r
champagne  sz aa m p aa n j ax
choke  sz oo k
cirka  s ih r k aa
crawle  k r oo l ax
cruise  k r uh s
curling  s oe l ih ng
cyanid  s ue w aa n iy d
da  d aa
dabbe  d aa b ax
dag  d aa g
dagdrøm  d aa g d r oe m
dagdrømme  d aa g d r oe m ax
dagens rett  d aa g ax n s r eh t
daggry  d aa g r y
daglig  d aa g l ih
dagligdags  d aa g l ih d aa k s
daglige  d aa g l ih ax
dagligere  d aa g l ih r ax
dagligst  d aa g l ih k s t
dagligste  d aa g l ih k s t ax
dagligvareforretning  d aa g l ih v aa r ax f ao r eh t n ih ng
dagligvarehandel  d aa g l ih v aa r ax hh aa n ax l
dagskort  d aa k s k ao t
dagslys  d aa k s l ueh s
dagsorden  d aa k s ao d ax n
dagstur  d aa k s t uh r
dal  d aa l
dale  d aa l ax
dalen  d aa ng
dam  d aa m
dame  d aa m ax
dampe  d aa m p ax
dandere  d aa n d ee r ax
danne  d aa n ax
dannet  d aa n ax t
dans  d aa n s
danse  d aa n s ax
danseorkester  d aa n s ax ao r k eh s t ax r
danser  d aa n s ax r
danserinne  d aa n s ax r ih n ax
danseteater  d aa n s eh t ee aa t ax r
dansk  d aa n s k
danske  d aa n s k ax
datere  d aa t ee r ax
dato  d aa t uu
datter  d aa t ax r
David  d aa v ih d
de  d iy
de beste  d ih b eh s t ax
debattere  d ax b aa t ee r ax
debutere  d ax b uh t ee r ax
dedisere  d ax d ih s ee r ax
defekt  d eh f eh k t
defensiv  d eh f aa ng s iy v
defilere  d ax f ih l ee r ax
definere  d ax f ih n ee r ax
definitiv  d eh f iy n ih t ih v
deg  d ae iy
degenerere  d ee g ax n ax r ee r ax
degradere  d ee g r aa d ee r ax
deilig  d ay l ih
deilige  d ay l ih ax
deiligere  d ay l ih r ax
deiligst  d ay l ih k s t
deiligste  d ay l ih k s t ax
deise  d ay s ax
dekadent  d ax k aa d eh n t
dekk  d eh k
dekke  d eh k ax
deklamere  d ax k l aa m ee r ax
deklarere  d ax k l aa r ee r ax
dekorere  d ax k uh r ee r ax
dekretere  d eh k r ax t ee r ax
del  d ee l
delaktig  d ee l aa k t ih
delaktige  d ee l aa k t ih ax
delaktigere  d ee l aa k t ih r ax
delaktigst  d ee l aa k t ih k s t
delaktigste  d ee l aa k t ih k s t ax
dele  d ee l ax
delegere  d ax l ax g ee r ax
delikat  d ax l ih k aa t
delikatesseforretning  d eh l ih k aa t eh s ax f ao r eh t n ih ng
delirisk  d ax l iy r ih s k
delkasko  d ee l k aa s k u
delta  d eh l t aa
delvis  d ee l v iy s
dem  d eh m
dement  d ax m eh n t
dementere  d ax m aa ng t ee r ax
demokratisk  d ax m uh k r aa t ih s k
demonstrativ  d ao m ao n s t r aa t iy v
demonstrere  d ax m uh n s t r ee r ax
demontere  d ee m uh n t ee r ax
dempe  d eh m p ax
dempet  d eh m p ax t
demre  d eh m r ax
den  d eh n
den bekjente  d eh n b eh xh eh n t ax
den beste  d eh n b eh s t ax
den gangen  d eh ng aa ng ax n
den s kadede  d eh n s k aa d ax d ax
denge  d eh ng ax
denn  d eh n
denne  d eh n ax
deodorant  d eh uh d uh r aa n t
deponere  d ax p uh n ee r ax
deportere  d ax p uh t ee r ax
deprimert  d ax p r ih m ee t
der  d ae r
dere  d ee r ax
deres  d ee r ax s
deretter  d ae r eh t ax r
derfor  d ae r f ao r
dersom  d eh sz ao m
desember  d ax s eh m b ax r
desertere  d ax s ae t ee r ax
desidert  d ax s ih d ee t
designe  d ih s ay n ax
desimal  d ax s ih m aa l
desinfisere  d eh s ih n f ih s ee r ax
desorientert  d eh s ao r ih ax n t ee t
desperat  d ax s p ax r aa t
despot  d eh s p uu t
despotisme  d eh s p uh t ih s m ax
dessert  d eh s ae r
dessuten  d eh s uh t ax n
dessverre  d eh s v ae r ax
destruere  d ax s t r uh ee r ax
destruktiv  d eh s t r uh k t iy v
det  d eh
det beste  d eh b eh s t ax
det er  d eh ae r
det finnes  d eh f ih n ax s
det fins  d eh f ih n s
det samme  d eh s aa m ax
detaljert  d ax t aa l j ee t
detektiv  d eh t ax k t iy v
dette  d eh t ax
diabetiker  d ih aa b ee t ih k ax r
diagnose  d ih aa g n uu s ax
diagonal  d ih aa g uh n aa l
dialyse  d ih j aa l ueh s ax
diare  d ih aa r ee
die  d iy ax
diett  d ih eh t
differensiere  d ih f ax r aa ng s ih j ee r ax
diffus  d ih f uh s
difteri  d ih f t ax r iy
diftong  d ih f t ao ng
diftongere  d ih f t ao ng g ee r ax
diger  d iy g ax r
digital  d ih g ih t aa l
dike  d iy k ax
dikt  d ih k t
dikte  d ih k t ax
diktere  d ih k t ee r ax
dikterisk  d ih k t ax r ih s k
dilte  d ih l t ax
dim  d ih m
dimme  d ih m ax
din  d iy n
dine  d iy n ee
dingle  d ih ng l ax
dings  d ih ng s
diplomatisk  d ih p l uh m aa t ih s k
direkt  d ih r eh k t
direkte  d ih r eh k t ax
direkte fly  d ih r eh k t ax f l ueh
direktiv  d ih r ax k t iy v
dirigent  d ih r ih g eh n t
dirigere  d ih r ih g ee r ax
dirke  d ih r k ax
dirre  d ih r ax
disig  d iy s ih
disige  d iy s ih ax
disigere  d iy s ih r ax
disigst  d iy s ih k s t
disigste  d iy s ih k s t ax
disiplinere  d ih s ih p l ih n ee r ax
disiplinær  d ih s ih p l ih n ae r
diske  d ih s k ax
diskotek  d ih s k uh t ee k
diskre  d ih s k r ee
diskré  d ih s k r ee
diskriminere  d ih s k r ih m ih n ee r ax
diskutabel  d ih s k uh t aa b ax l
diskutere  d ih s k uh t ee r ax
diskvalifisere  d ih s k v aa l ih f ih s ee r ax
dispensere  d ih s p aa ng s ee r ax
disponere  d ih s p uh n ee r ax
disponibel  d ih s p uh n iy b ax l
disputere  d ih s p uh t ee r ax
disse  d ih s ax
dissekere  d ih s ax k ee r ax
distansere  d ih s t aa n s ee r ax
distingvert  d ih s t ih ng v ee t
distrahere  d ih s t r aa hh ee r ax
distre  d ih s t r ee
distré  d ih s t r ee
distribuere  d ih s t r ih b uh ee r ax
ditt  d ih t
diverse  d ih v ae sz ax
dividere  d ih v ih d ee r ax
djerv  d j ae r v
djevel  d j ee v ax l
djevelsk  d j ee v ax l s k
dobbel  d ao b ax l
doble  d ao b l ax
dog  d oo g
dogme  d ao g m ax
doktrinær  d ao t r ih n ae r
dokumentere  d uh k uh m ax n t ee r ax
dominant  d uh m ih n aa n t
dominere  d uh m ih n ee r ax
domkirke  d uh m xh ih r k ax
dommer  d ao m ax r
donere  d uh n ee r ax
dope  d uu p ax
doppelt  d ao p ax l t
dorme  d ao r m ax
dorsk  d ao sz k
dort  d ao t
dosere  d uh s ee r ax
dossere  d ao s ee r ax
dov  d oeh v
doven  d oo v ax n
dra  d r aa
drakt  d r aa k t
drama  d r aa m aa
dramatikk  d r aa m aa t ih k
dramatisk  d r aa m aa t ih s k
drap  d r aa p
drasse  d r aa s ax
drastisk  d r aa s t ih s k
dreie  d r ay ax
drektig  d r eh k t ih
drektige  d r eh k t ih ax
drektigere  d r eh k t ih r ax
drektigst  d r eh k t ih k s t
drektigste  d r eh k t ih k s t ax
drenere  d r ax n ee r ax
drepe  d r ee p ax
dress  d r eh s
dressere  d r ax s ee r ax
dressing  d r eh s ih ng
dreven  d r ee v ax n
driftig  d r ih f t ih
driftige  d r ih f t ih ax
driftigere  d r ih f t ih r ax
driftigst  d r ih f t ih k s t
driftigste  d r ih f t ih k s t ax
drikk  d r ih k
drikke  d r ih k ax
drille  d r ih l ax
drin  d r ih n
dringend  d r ih ng ax n t
driste  d r ih s t ax
dristig  d r ih s t ih
dristige  d r ih s t ih ax
dristigere  d r ih s t ih r ax
dristigst  d r ih s t ih k s t
dristigste  d r ih s t ih k s t ax
drive  d r iy v ax
dronning  d r ao n ih ng
droppe  d r ao p ax
drosje  d r ao sz ax
drosjesjåfør  d r ao sz ax sz ao f oeh r
druesukker  d r uh ax s uh k ax r
drukken  d r uh k ax n
drukne  d r uh k n ax
dryppe  d r ue p ax
drysse  d r ue s ax
drøfte  d r oe f t ax
drøm  d r oe m
drømme  d r oe m ax
drømmeaktig  d r oe m aa k t ih
drønne  d r oe n ax
drøvel  d r oe v ax l
drøy  d r oe j
drøye  d r oe j ax
dråpe  d r oo p ax
du  d uh
dualisme  d uh w aa l ih s m ax
due  d uh ax
duell  d uh w eh l
duellere  d uh w eh l ee r ax
dufte  d uh f t ax
duge  d uh g ax
dugge  d uh g ax
dugnad  d uh g n aa d
duk  d uh k
dukke  d uh k ax
dukkert  d uh k ax t
dulte  d uh l t ax
dum  d uh m
dumdristig  d uh m d r ih s t ih
dumdristige  d uh m d r ih s t ih ax
dumdristigere  d uh m d r ih s t ih r ax
dumdristigst  d uh m d r ih s t ih k s t
dumdristigste  d uh m d r ih s t ih k s t ax
dumm  d ao m
dumme  d uh m ax
dump  d uh m p
dumpe  d uh m p ee
dundre  d uh n d r ax
dunke  d uh ng k ax
dunste  d uh n s t ax
duo  d uh w u
duplisere  d uh p l ih s ee r ax
Duplo  d uh p l u
durabelig  d uh r aa b ax l ih
durabelige  d uh r aa b ax l ih ax
durabeligere  d uh r aa b ax l ih r ax
durabeligst  d uh r aa b ax l ih k s t
durabeligste  d uh r aa b ax l ih k s t ax
dure  d uh r ax
durkdreven  d uh r k d r ee v ax n
dusin  d uh s iy n
dusj  d uh sz
dusje  d uh sz ax
duve  d uh v ax
dvele  d v ee l ax
dydig  d ueh d ih
dydige  d ueh d ih ax
dydigere  d ueh d ih r ax
dydigst  d ueh d ih k s t
dydigste  d ueh d ih k s t ax
dykke  d ue k ax
dyktig  d ue k t ih
dyktige  d ue k t ih ax
dyktigere  d ue k t ih r ax
dyktigst  d ue k t ih k s t
dyktigste  d ue k t ih k s t ax
dynamisk  d ue n aa m ih s k
dynasti  d ue n aa s t iy
dynke  d ue ng k ax
dyp  d ueh p
dyppe  d ue p ax
dypt  d ue p t
dyr  d ueh r
dyrebar  d ueh r ax b aa r
dyrisk  d ueh r ih s k
dyrke  d ue r k ax
dyrlege  d ueh l ee g ax
dysse  d ue s ax
dyster  d ue s t ax r
dytte  d ue t ax
dyvåt  d ueh v oo t
dø  d oeh
død  d oeh d
dødelig  d oeh d ax l ih
dødelige  d oeh d ax l ih ax
dødeligere  d oeh d ax l ih r ax
dødeligst  d oeh d ax l ih k s t
dødeligste  d oeh d ax l ih k s t ax
døgn  d oe j n
dølge  d oe l g ax
dømme  d oe m ax
døpe  d oeh p ax
dør  d oeh r
dørslag  d oe sz l aa g
dørstokk  d oeh sz t ao k
døse  d oeh s ax
døsig  d oeh s ih
døsige  d oeh s ih ax
døsigere  d oeh s ih r ax
døsigst  d oeh s ih k s t
døsigste  d oeh s ih k s t ax
døv  d oeh v
døyve  d oe j v ax
dåne  d oo n ax
dåp  d oo p
dåpshandling  d oo p s hh aa n d l ih ng
dåre  d oo r ax
dårlig  d oo l ih
dårlige  d oo l ih ax
dårligere  d oo l ih r ax
dårligst  d oo l ih k s t
dårligste  d oo l ih k s t ax
e-post  ee p ao s t
ebbe  eh b ax
eddik  eh d ih k
edel  ee d ax l
edru  ee d r uh
edruelig  eh d r uh ax l ih
edruelige  eh d r uh ax l ih ax
edrueligere  eh d r uh ax l ih r ax
edrueligst  eh d r uh ax l ih k s t
edrueligste  eh d r uh ax l ih k s t ax
effektiv  eh f ax k t iy v
egenhendig  ee g ax n h eh n ih
egenhendige  ee g ax n h eh n ih ax
egenhendigere  ee g ax n h eh n ih r ax
egenhendigst  ee g ax n h eh n ih k s t
egenhendigste  ee g ax n h eh n ih k s t ax
egennyttig  ee g ax n ue t ih
egennyttige  ee g ax n ue t ih ax
egennyttigere  ee g ax n ue t ih r ax
egennyttigst  ee g ax n ue t ih k s t
egennyttigste  ee g ax n ue t ih k s t ax
egenrådig  ee g ax n r oo d ih
egenrådige  ee g ax n r oo d ih ax
egenrådigere  ee g ax n r oo d ih r ax
egenrådigst  ee g ax n r oo d ih k s t
egenrådigste  ee g ax n r oo d ih k s t ax
egentlig  ee g ax n t l ih
egentlige  ee g ax n t l ih ax
egentligere  ee g ax n t l ih r ax
egentligst  ee g ax n t l ih k s t
egentligste  ee g ax n t l ih k s t ax
egg  eh g
egge  ay ax
eggerøre  ay ax r oeh r ax
egle  ay l ax
egne  ay n ax
egosentrisk  ee g uh s eh n t r ih s k
egyptisk  eh g ue p t ih s k
ei  ae iy
ei uke t il  ay uh k ax t ih l
eie  ay ax
eiendom  ay ax n ao m
eier  ay ax r
ekkel  eh k ax l
eksakt  eh k s aa k t
eksaltert  eh k s aa l t ee t
eksaminere  eh k s aa m ih n ee r ax
eksempel  eh k s eh m p ax l
eksemplarisk  eh k s ax m p l aa r ih s k
eksentrisk  eh k s eh n t r ih s k
eksepsjonell  eh k s ax p sz uh n eh l
eksistensiell  eh k s ih s t ax n s ih eh l
eksistere  eh k s ih s t ee r ax
ekskludere  eh k s k l uh d ee r ax
eksklusiv  eh k s k l uh s ih v
eksosrør  eh k s uu s r oeh r
eksotisk  eh k s uu t ih s k
ekspandere  eh k s p aa ng d ee r ax
ekspedere  eh k s p ax d ee r ax
eksperiment  eh k s p ax r ih m eh n t
eksperimentell  eh k s p ax r ih m ax n t eh l
eksperimentere  eh k s p ax r ih m ax n t ee r ax
eksplodere  eh k s p l uh d ee r ax
eksplosiv  eh k s p l uh s iy v
eksponere  eh k s p uh n ee r ax
eksportere  eh k s p ao t ee r ax
ekspresjonisme  eh k s p r eh sz uh n ih s m ax
ekspressbrev  eh k s p r eh s b r ee v
ekspressbuss  eh k s p r eh s b uh s
ekstatisk  eh k s t aa t ih s k
ekstensiv  eh k s t ax n s iy v
ekstra  eh k s t r aa
ekstraordinær  eh k s t r aa ao d ih n ae r
ekstrem  eh k s t r ee m
ekte  eh k t ax
ektemann  eh k t ax m aa n
ektepar  eh k t ax p aa r
ekteskap  eh k t ax s k aa p
elastisk  eh l aa s t ih s k
elde  eh l d ax
eldes  eh l d ax s
eldgammel  eh l g aa m ax l
eldre  eh l d r ax
elefant  eh l ax f aa n t
elegant  eh l ax g aa n t
elektrisk  eh l eh k t r ih s k
elektrisk forretning  eh l eh k t r ih s k f ao r eh t n ih ng
elektriske artikler  eh l eh k t r ih s k ax aa t ih k l ax r
elektronisk  eh l ax k t r uu n ih s k
elementær  eh l ax m ax n t ae r
elendig  eh l eh n ih
elendige  eh l eh n ih ax
elendigere  eh l eh n ih r ax
elendigst  eh l eh n ih k s t
elendigste  eh l eh n ih k s t ax
elf  eh l f
eliminere  eh l ih m ih n ee r ax
Elise  eh l iy s ax
eller  eh l ax r
ellers  eh l ax sz
elleve  eh l v ax
ellevill  eh l ax v ih l
elske  eh l s k ax
elsker  eh l s k ax r
elskling  eh l s k l ih ng
elskverdig  eh l s k v ae d ih
elskverdige  eh l s k v ae d ih ax
elskverdigere  eh l s k v ae d ih r ax
elskverdigst  eh l s k v ae d ih k s t
elskverdigste  eh l s k v ae d ih k s t ax
elte  eh l t ax
elv  ae l v
emballere  eh m b aa l ee r ax
emigrere  eh m ih g r ee r ax
eminent  eh m ih n eh n t
emmen  eh m ax n
emne  eh m n ax
emosjonell  eh m uh sz uh n eh l
empatisk  eh m p aa t ih s k
empfehlen  eh m p f ee l ax n
empirisk  eh m p iy r ih s k
én  ee n
en  ee n
en gang  eh ng aa ng
en gang t il  eh ng aa ng t ih l
enda  eh n aa
ende  eh n ax
endelig  eh n ax l ih
endelige  eh n ax l ih ax
endeligere  eh n ax l ih r ax
endeligst  eh n ax l ih k s t
endeligste  eh n ax l ih k s t ax
endelse  eh n ax l s ax
endeløs  eh n ax l oeh s
ender  eh n ax r
endestasjon  eh n ax s t aa sz uu n
endevende  eh n ax v eh n ax
endre  eh n d r ax
endring  eh n d r ih ng
ene  ee n ax
energisk  eh n ae r g ih s k
enerverende  eh n ae r v ee r ax n ax
enerådende  ee n ax r oo d ax n ax
enes  ee n ax s
eneste  ee n ax s t ax
enestående  ee n ax s t oo ax n ax
enfoldig  eh n f ao l d ih
enfoldige  eh n f ao l d ih ax
enfoldigere  eh n f ao l d ih r ax
enfoldigst  eh n f ao l d ih k s t
enfoldigste  eh n f ao l d ih k s t ax
eng  eh ng
engasjere  eh ng g aa sz ee r ax
engelsk  eh ng ax l s k
engste  eh ng s t ax
engstelig  eh ng s t ax l ih
engstelige  eh ng s t ax l ih ax
engsteligere  eh ng s t ax l ih r ax
engsteligst  eh ng s t ax l ih k s t
engsteligste  eh ng s t ax l ih k s t ax
enhetlig  ee n h ee t l ih
enhetlige  ee n h ee t l ih ax
enhetligere  ee n h ee t l ih r ax
enhetligst  ee n h ee t l ih k s t
enhetligste  ee n h ee t l ih k s t ax
enhver  eh n v ae r
enig  ee n ih
enige  ee n ih ax
enigere  ee n ih r ax
enigst  ee n ih k s t
enigste  ee n ih k s t ax
enke  eh ng k ax
enkel  eh ng k ax l
enkelt  eh ng k ax l t
enkeltstående  eh ng k ax l t s t oo ax n ax
